"workerID","rate_bbq","mean","bbq01","bbq02","bbq03","bbq04","bbq05","bbq06","bbq07","bbq08","bbq09","bbq10","bbq11","bbq12","bbq13","bbq14","bbq15","bbq16","bbq17","bbq18","bbq19","bbq20","bbq21","bbq22","bbq23","bbq24","bbq25","bbq26","bbq27","bbq28","bbq29","bbq30","bbq31","bbq32","bbq33","bbq34","bbq35","bbq36","bbq37","bbq38","bbq39","bbq40","bbq41","bbq42","bbq43","bbq44","bbq45","bbq46","bbq47","bbq48","bbq49","bbq50","bbq51","bbq52","bbq53","bbq54","bbq55","bbq56","bbq57","bbq58","bbq59","bbq60"
"A1",5,4.71186440677966,5,3,5,5,4,5,5,5,5,5,5,5,4,4,2,5,5,5,5,5,4,5,5,5,5,5,5,5,5,2,5,5,5,5,5,3,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,NA,5
"A2",5,4.56666666666667,5,5,5,5,4,5,5,4,5,4,4,5,5,5,2,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,4,5,5,4,4,4,5,4,5,4,5,3,4,5,5,4,4,5,5,5,4,3,5,5,5,5,5,4,4,5
"A3",4,3.7,4,3,4,5,4,4,4,4,3,5,4,4,4,3,3,3,3,5,3,4,4,3,5,4,4,5,3,3,4,4,3,4,4,4,3,3,4,5,5,4,4,2,3,5,4,4,3,4,2,4,2,4,3,4,4,3,3,3,3,4
"A5",5,4.46666666666667,4,5,5,4,4,4,4,5,4,5,4,4,4,5,5,4,5,5,5,4,4,4,4,4,4,4,5,5,4,5,5,5,5,4,5,5,4,4,4,5,4,5,5,4,4,4,4,4,5,4,5,5,5,4,4,5,5,5,4,5
"A13",5,3.48333333333333,4,3,2,3,3,3,2,4,2,4,4,2,4,5,3,1,3,3,3,4,3,3,3,4,4,4,3,3,3,3,3,4,3,4,5,5,4,5,5,3,4,4,4,4,3,3,2,3,4,5,5,4,2,4,5,4,2,2,5,4
"A30",5,4.93333333333333,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
"A50",5,3.33333333333333,4,4,3,3,5,4,3,2,4,5,3,4,3,2,2,2,4,5,5,5,1,4,4,2,1,2,2,5,3,4,4,5,5,5,4,1,5,3,4,4,3,2,2,3,4,3,4,4,3,3,2,2,5,4,4,4,3,3,1,1
"A66",5,4.78333333333333,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,4,5,4,5,4,5,5,5,4,3,5,5
"A78",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"A79",5,3.7,4,4,5,3,2,5,2,3,3,3,3,3,3,5,5,3,5,3,3,4,4,3,2,3,4,3,3,4,3,4,3,2,3,4,4,5,4,5,3,4,4,5,4,3,5,4,4,3,3,4,5,5,2,4,4,4,5,4,4,5
"A84",5,3.71666666666667,4,1,5,4,3,5,3,5,4,5,5,4,5,1,1,1,2,4,5,5,5,3,3,3,4,5,2,4,4,5,1,4,4,5,5,4,5,5,4,4,4,2,5,5,5,4,2,5,3,5,2,1,5,3,5,4,2,4,1,5
"A91",4,4.06666666666667,3,4,4,4,4,4,3,5,3,4,4,4,4,4,5,2,5,5,3,5,3,4,3,4,4,5,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,5,3,4,3,5,3,5,5,4,4,4,4,5,4,3,4,4,4,5
"A102",4,4.2,4,5,5,3,4,4,4,4,3,5,3,3,4,5,4,3,5,5,5,4,2,4,3,5,3,5,5,5,5,4,4,4,5,5,5,5,4,5,3,5,4,4,5,4,4,5,5,3,4,5,4,4,4,4,3,5,5,4,3,5
"A106",5,4.21666666666667,4,5,5,5,4,5,3,4,4,5,5,5,5,3,3,3,3,5,5,5,4,5,4,4,4,5,2,5,5,4,3,5,5,5,5,5,5,5,5,4,5,3,2,5,5,5,4,5,3,5,3,2,4,5,5,4,3,3,4,3
"A107",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"A109",5,4.21666666666667,4,5,5,3,4,4,3,5,4,4,5,5,5,2,2,4,4,4,5,4,4,4,4,4,4,5,2,4,5,4,5,4,4,5,5,4,5,5,4,3,5,5,2,5,4,5,4,5,4,5,4,3,5,4,5,4,5,5,4,5
"A118",5,4.86666666666667,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,5
"A129",5,3.83333333333333,5,5,4,3,4,4,4,4,3,5,4,4,4,3,2,3,3,5,4,4,4,5,3,4,4,4,4,5,5,4,2,5,3,5,5,5,5,3,4,3,4,3,3,5,4,5,4,5,3,4,2,1,2,4,5,3,2,4,5,3
"A148",5,4.38333333333333,4,5,5,4,4,5,4,5,4,4,4,4,4,4,3,4,5,4,4,5,4,5,4,5,4,5,4,4,4,5,4,4,4,5,5,5,4,5,4,5,4,4,4,5,4,5,5,4,3,5,4,4,5,5,4,5,4,5,5,5
"A149",4,4.4,4,5,5,4,4,4,4,5,4,5,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,5,4,4,5,4,5,5,4,5,5,5,4,4,5,4,4,5,4,4,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5
"A248",5,4.6,4,5,5,5,5,5,4,4,5,4,4,4,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,5,5,5,5,4,4,4,5,5,5,4,4,5,5,4,4,5,5,4,5,4,5,5,5,4,4,5,5,5,5,4,5
"A261",5,4.88333333333333,5,5,5,5,5,5,5,5,5,4,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5
"A270",5,3.15,3,5,3,4,4,4,3,4,3,4,5,2,4,2,1,3,1,4,2,4,3,4,4,5,4,4,2,5,3,4,1,4,5,4,2,3,2,4,5,2,4,1,3,4,4,4,4,3,1,2,1,1,1,4,5,1,1,3,4,3
"A271",5,4.40677966101695,5,3,4,4,4,5,2,4,5,5,4,5,4,5,5,3,3,4,4,5,4,5,5,5,5,5,5,4,NA,2,4,5,5,5,5,4,5,5,5,5,5,4,5,4,4,4,4,5,5,5,5,4,5,3,5,4,5,3,5,5
"A337",5,4.11666666666667,3,4,5,4,5,4,5,5,4,3,4,4,5,5,5,3,4,3,4,4,3,4,3,4,3,4,4,3,5,4,3,2,3,5,4,5,4,5,4,5,4,5,5,5,3,5,3,4,4,3,4,5,4,5,5,5,5,4,5,4
"A346",4,4.56666666666667,5,5,4,4,5,4,4,5,4,5,5,4,5,5,4,4,4,5,4,5,4,4,5,4,5,5,5,5,4,5,5,4,4,4,5,5,5,5,4,4,4,5,5,5,3,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5
