"workerID","rate_burgers","mean","burgers01","burgers02","burgers03","burgers04","burgers05","burgers06","burgers07","burgers08","burgers09","burgers10","burgers11","burgers12","burgers13","burgers14","burgers15","burgers16","burgers17","burgers18","burgers19","burgers20","burgers21","burgers22","burgers23","burgers24","burgers25","burgers26","burgers27","burgers28","burgers29","burgers30","burgers31","burgers32","burgers33","burgers34","burgers35","burgers36","burgers37","burgers38","burgers39","burgers40","burgers41","burgers42","burgers43","burgers44","burgers45","burgers46","burgers47","burgers48","burgers49","burgers50","burgers51","burgers52","burgers53","burgers54","burgers55","burgers56","burgers57","burgers58","burgers59","burgers60"
"A12",5,4.66666666666667,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,3,4,5,5,5,5,5,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,1,5,5,5,5,3,5,5,4,5,5,2,5,5
"A25",5,3.45,3,3,2,5,3,5,3,2,4,4,2,3,2,2,5,3,2,4,3,5,2,2,4,3,3,3,2,3,5,5,3,4,2,5,4,5,3,4,4,4,2,5,3,4,4,3,2,3,4,4,4,4,3,5,5,2,4,3,3,5
"A35",5,3.51666666666667,4,3,4,2,4,5,5,1,3,4,3,4,5,3,4,1,4,3,4,4,4,3,4,4,4,2,4,3,2,3,4,4,4,5,5,4,4,3,3,3,3,3,3,4,5,3,2,3,5,5,3,2,5,3,3,3,4,3,2,5
"A52",5,3.35,5,4,2,3,3,5,3,2,3,3,4,2,2,2,5,5,2,5,3,3,3,2,5,2,3,4,3,2,4,5,2,4,3,2,3,4,2,3,2,3,4,5,4,5,5,3,4,3,2,4,5,2,4,3,5,2,4,3,4,3
"A64",5,3.68333333333333,4,4,4,3,4,5,4,4,3,4,4,4,5,2,4,3,2,3,4,4,5,4,3,5,4,3,2,3,4,3,3,3,4,4,5,4,3,4,4,4,4,5,4,4,4,3,3,3,2,5,4,4,4,5,3,2,3,3,3,5
"A75",5,4.81666666666667,4,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,3,5,5,5,4,5,5,5
"A97",4,4.15,5,4,4,4,5,4,5,3,4,4,3,3,3,4,4,5,5,5,4,4,4,4,4,5,2,4,5,4,4,3,5,5,4,4,5,4,5,5,4,4,5,4,3,4,4,4,4,5,4,4,4,4,5,4,4,4,5,4,4,4
"A101",5,2.9,2,2,4,3,3,3,4,2,3,4,2,3,3,3,5,2,2,2,2,2,2,1,4,4,3,1,3,3,4,3,3,2,3,4,2,3,4,2,4,2,2,4,1,4,2,4,4,1,4,4,2,1,5,4,2,5,4,4,3,1
"A125",5,3.08333333333333,3,4,3,2,3,3,3,2,2,4,2,1,1,1,2,2,4,5,2,3,3,1,3,4,5,5,2,1,4,3,4,2,3,2,5,3,4,5,2,4,3,4,1,2,4,2,1,3,4,5,5,3,4,3,5,5,3,4,3,4
"A126",5,4.48333333333333,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,4,5,3,5,5,5,5,5,5,5,5,3,3,5,1,5,3,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5
