"workerID","rate_candy","mean","candy01","candy02","candy03","candy04","candy05","candy06","candy07","candy08","candy09","candy10","candy11","candy12","candy13","candy14","candy15","candy16","candy17","candy18","candy19","candy20","candy21","candy22","candy23","candy24","candy25","candy26","candy27","candy28","candy29","candy30","candy31","candy32","candy33","candy34","candy35","candy36","candy37","candy38","candy39","candy40","candy41","candy42","candy43","candy44","candy45","candy46","candy47","candy48","candy49","candy50","candy51","candy52","candy53","candy54","candy55","candy56","candy57","candy58","candy59","candy60"
"A17",4,2.43333333333333,3,1,2,4,1,4,1,4,2,2,2,2,3,4,2,5,1,2,4,4,2,4,4,1,3,1,2,1,1,3,1,4,2,1,4,3,3,2,3,2,1,3,4,4,1,4,2,1,2,3,2,2,1,1,3,4,3,2,2,1
"A85",5,3.48333333333333,2,4,4,4,5,5,4,4,4,3,2,2,5,3,4,4,4,4,2,5,4,3,2,4,3,4,2,3,3,4,4,4,5,4,4,3,4,3,4,4,3,2,4,2,2,4,2,3,3,4,4,2,1,4,4,3,4,5,4,4
"A92",4,3.1,3,1,2,5,3,4,1,5,3,3,3,1,3,4,2,5,3,5,1,5,3,5,3,3,3,3,2,3,3,3,3,3,4,3,5,5,5,3,1,3,1,1,5,3,3,5,2,3,1,3,1,3,1,3,2,5,5,5,3,3
"A112",5,3.15,5,5,5,1,5,1,5,1,5,1,5,2,3,1,1,5,5,1,1,1,5,1,1,1,5,4,1,5,5,5,5,3,5,5,1,1,1,5,4,1,5,1,5,3,4,1,1,5,5,1,5,1,5,5,5,2,1,1,5,5
"A116",4,3.66666666666667,2,4,3,5,5,5,4,5,5,5,5,2,1,3,2,3,5,3,2,4,5,3,3,2,5,5,3,5,5,5,5,3,3,5,3,5,4,3,2,3,2,2,3,5,5,4,3,5,1,2,2,3,4,5,3,4,3,4,5,5
"A139",5,2.85,2,3,2,2,3,2,5,1,5,1,3,3,2,2,2,3,5,2,4,1,3,2,4,4,2,1,3,2,2,3,4,4,2,2,2,1,2,4,4,3,5,5,5,3,3,1,3,2,5,2,5,3,2,4,2,2,1,2,5,4
"A142",5,3.36666666666667,3,1,3,5,3,5,3,5,4,3,3,3,1,4,3,3,4,4,3,5,3,4,2,3,2,4,3,4,2,4,3,3,3,2,4,5,4,3,4,3,3,3,3,3,4,5,3,3,3,2,3,3,2,4,3,5,5,5,4,3
"A154",5,3.41666666666667,5,5,5,5,2,5,5,5,5,5,3,3,5,2,3,2,5,5,2,2,5,3,1,3,1,3,2,5,5,4,5,4,3,5,2,3,2,2,3,1,1,2,3,4,5,1,1,5,2,2,2,2,5,4,5,3,2,5,5,5
"A158",5,4.11666666666667,4,2,3,5,4,5,4,5,5,5,4,2,1,4,5,4,5,5,3,5,4,5,4,5,1,5,3,4,5,5,5,4,3,4,5,5,5,4,3,5,4,3,5,5,3,4,3,4,5,4,4,3,4,4,3,5,5,5,5,5
"A166",5,4.46666666666667,5,5,2,4,3,4,5,5,5,5,5,5,3,5,5,5,5,5,5,3,5,5,5,5,1,3,5,4,3,5,5,5,5,5,5,5,4,3,5,5,5,5,3,5,5,5,5,4,5,5,5,5,5,5,2,5,5,4,3,5
"A176",5,3.56666666666667,3,2,2,2,3,4,2,3,3,2,4,5,2,2,4,4,3,4,4,3,3,4,5,4,5,4,3,4,4,3,3,3,4,2,5,5,5,3,3,4,4,4,5,4,5,4,3,4,4,4,4,4,3,4,2,5,4,3,4,3
"A196",5,3.13333333333333,1,3,5,1,5,3,2,1,5,1,2,2,1,3,5,2,5,3,4,2,5,1,1,3,5,5,5,5,5,5,5,1,1,5,2,2,2,2,3,4,3,4,1,3,2,2,5,5,3,1,3,5,2,5,5,2,2,2,5,5
"A213",4,2.31666666666667,2,4,4,1,3,3,4,3,4,1,4,1,1,3,2,1,3,1,1,1,3,1,2,1,2,3,2,4,4,4,4,4,3,3,1,1,1,2,1,2,1,1,2,3,3,1,2,3,1,4,1,2,1,4,4,1,1,1,4,4
"A283",5,2.23333333333333,4,3,1,2,5,1,5,1,1,1,1,1,1,1,5,1,1,3,4,3,5,4,1,1,1,1,1,1,1,4,1,5,3,5,3,1,4,1,1,5,1,1,1,2,1,5,1,1,1,5,1,5,3,3,1,1,4,1,1,1
"A306",5,2.86666666666667,4,2,4,1,5,5,1,1,4,1,2,2,1,2,4,2,4,1,3,2,1,1,5,1,1,5,4,5,5,2,5,3,3,1,3,2,2,1,3,4,4,3,2,4,4,3,4,4,2,2,3,4,1,4,4,4,1,3,4,4
"A322",5,2.95,1,1,4,2,2,3,2,2,5,3,1,3,1,2,1,2,5,2,3,3,5,2,2,4,3,5,1,5,5,5,5,1,1,5,1,3,3,2,5,1,5,4,1,2,2,3,1,5,5,1,5,1,2,5,3,3,4,3,5,5
"A353",5,3.78333333333333,1,3,4,1,2,5,1,2,4,3,5,5,1,5,1,5,5,4,5,5,5,4,2,5,1,5,2,5,5,5,5,2,2,5,5,5,5,1,5,3,5,5,4,5,5,5,2,5,5,1,5,2,1,5,3,5,5,5,5,5
"A402",5,3.55,2,5,2,1,3,2,5,1,5,2,4,5,1,4,3,5,5,4,5,4,5,5,2,3,2,5,2,4,5,5,3,2,1,4,4,4,5,3,3,3,4,5,4,4,4,5,2,2,4,1,4,5,4,5,2,2,4,4,5,5
"A418",4,4.26666666666667,4,5,3,5,5,4,5,5,5,2,3,5,5,5,2,4,5,4,5,4,5,4,5,5,5,3,2,3,3,5,3,5,3,5,4,4,5,4,5,5,5,5,4,5,4,5,3,4,4,4,5,4,4,5,3,4,5,5,5,5
