"workerID","rate_cheese","mean","cheese01","cheese02","cheese03","cheese04","cheese05","cheese06","cheese07","cheese08","cheese09","cheese10","cheese11","cheese12","cheese13","cheese14","cheese15","cheese16","cheese17","cheese18","cheese19","cheese20","cheese21","cheese22","cheese23","cheese24","cheese25","cheese26","cheese27","cheese28","cheese29","cheese30","cheese31","cheese32","cheese33","cheese34","cheese35","cheese36","cheese37","cheese38","cheese39","cheese40","cheese41","cheese42","cheese43","cheese44","cheese45","cheese46","cheese47","cheese48","cheese49","cheese50","cheese51","cheese52","cheese53","cheese54","cheese55","cheese56","cheese57","cheese58","cheese59","cheese60"
"A40",5,2.78333333333333,3,1,2,1,3,3,5,1,3,4,2,2,1,2,1,5,5,4,3,1,4,1,4,2,4,5,5,2,1,5,5,5,4,4,4,3,4,1,2,1,2,2,2,1,2,2,4,3,3,1,1,2,5,2,4,5,3,2,2,1
"A51",5,3.31666666666667,4,3,3,2,4,4,5,5,5,4,3,5,3,1,1,5,5,5,3,5,4,2,5,1,4,5,3,2,2,5,5,3,4,4,5,4,5,2,1,1,5,1,4,2,1,3,3,1,2,4,1,3,5,4,3,4,1,3,2,5
"A164",5,3.93333333333333,5,4,4,2,5,3,3,3,5,4,5,4,3,3,4,5,5,5,5,4,4,5,2,2,3,5,5,5,4,2,4,5,4,5,4,4,3,3,2,4,4,5,5,5,5,5,5,2,3,5,5,5,3,4,5,5,3,3,2,1
"A171",5,4.76666666666667,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,5,4,5,5,5,5,5
"A184",5,4.91666666666667,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"A192",5,4.83333333333333,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,1,5,5,5
"A205",5,3.93333333333333,5,5,5,3,2,3,5,5,4,5,5,2,4,4,3,5,5,3,3,5,5,2,5,4,5,5,3,4,4,5,5,3,4,5,5,4,5,2,2,2,4,5,5,3,4,5,5,4,2,3,4,5,3,4,5,3,2,5,3,2
"A216",5,4.58333333333333,4,5,5,3,5,5,5,5,4,4,4,5,4,2,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,3,5,5,5,4,5,4,5,4,5,4,5,5,4,5,4,4,5,5,5,5,5,5,5,5
"A222",5,4.46666666666667,5,5,4,5,5,4,3,5,5,4,4,5,5,4,5,5,4,5,5,5,4,5,3,5,5,5,4,5,5,4,5,5,4,5,4,3,2,5,5,5,5,5,5,5,5,3,3,4,4,4,5,3,5,5,5,5,4,5,5,3
"A289",5,4.65,5,5,5,5,5,5,3,4,5,5,4,5,5,5,1,5,5,5,5,4,5,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,3,4,3,5
"A296",5,3.78333333333333,5,5,5,4,1,3,4,5,5,4,4,5,2,2,2,5,5,2,4,5,3,3,5,5,5,5,3,4,5,5,5,5,3,3,5,4,4,1,4,2,4,2,5,3,2,4,4,3,2,1,3,4,5,3,5,5,1,5,5,5
"A298",5,3.9,4,5,5,5,4,4,4,4,5,4,3,4,3,5,4,5,4,2,5,3,5,3,3,4,4,4,4,4,3,4,4,4,5,4,4,4,5,5,3,2,5,4,4,4,2,5,5,2,2,4,4,5,4,5,5,4,2,4,3,1
"A302",5,4.33333333333333,5,3,3,5,4,5,5,3,5,5,5,5,3,3,3,5,5,5,4,5,5,3,5,5,4,5,5,3,4,5,5,4,5,4,5,5,5,5,5,3,4,5,5,3,3,5,5,3,4,3,3,3,5,4,5,5,5,5,5,4
"A314",5,4.6,4,4,4,4,5,5,5,5,3,5,5,5,4,5,4,5,4,5,4,5,5,4,5,5,5,5,4,5,4,5,5,4,5,4,5,3,5,4,5,5,5,5,5,5,5,4,5,4,5,4,4,4,5,5,4,5,5,5,5,5
"A315",5,4.26666666666667,4,4,5,4,5,5,5,4,4,4,4,4,4,4,4,5,4,5,4,4,5,4,5,4,5,4,4,3,4,5,4,4,4,5,5,4,5,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,5,4,5,3,5
"A318",5,3.16666666666667,3,3,2,3,3,4,2,3,3,4,2,4,4,3,1,3,4,3,4,2,2,3,4,4,4,4,3,2,3,5,5,3,3,3,4,2,5,3,5,3,2,3,3,3,3,2,4,1,3,4,2,3,3,2,5,3,3,2,5,4
"A321",5,2.7,2,5,5,4,1,2,3,5,3,4,1,5,3,5,1,3,4,1,2,2,1,3,2,4,4,3,4,5,2,4,3,4,4,2,1,4,3,2,1,2,4,1,2,1,1,1,4,1,4,4,1,1,3,4,2,1,1,4,1,2
"A351",5,4.33333333333333,5,5,4,5,3,5,5,5,5,5,5,4,5,5,5,5,4,5,4,5,3,5,3,2,3,5,4,5,4,5,4,4,5,5,5,4,5,5,2,3,4,5,5,4,5,5,5,1,4,5,5,3,5,5,4,1,5,4,5,5
"A366",5,4.2,4,4,5,5,5,3,5,5,5,5,5,4,4,5,5,5,4,5,4,4,4,2,4,5,4,5,4,4,5,4,4,3,4,4,5,5,5,3,3,3,4,4,4,3,4,5,3,5,1,3,5,5,5,4,4,5,4,4,4,5
"A371",5,3.7,4,3,4,3,4,4,2,3,5,4,3,4,4,3,2,4,3,5,4,3,3,2,2,3,4,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,3,4,4,4,4,3,3,3,3,4,5,4,4,3,5
"A377",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"A381",5,4.71666666666667,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,4,3,5,4,4,4,4,4,5,5,5,5,5,5,5,5
"A389",5,4,5,3,4,3,3,4,5,5,5,5,4,4,3,3,5,3,4,4,5,3,4,5,3,5,4,4,5,5,4,5,5,5,4,3,3,3,5,5,4,3,3,4,3,3,2,2,5,4,5,3,3,2,5,5,4,5,4,5,4,5
