"workerID","rate_chocolate","mean","chocolate01","chocolate02","chocolate03","chocolate04","chocolate05","chocolate06","chocolate07","chocolate08","chocolate09","chocolate10","chocolate11","chocolate12","chocolate13","chocolate14","chocolate15","chocolate16","chocolate17","chocolate18","chocolate19","chocolate20","chocolate21","chocolate22","chocolate23","chocolate24","chocolate25","chocolate26","chocolate27","chocolate28","chocolate29","chocolate30","chocolate31","chocolate32","chocolate33","chocolate34","chocolate35","chocolate36","chocolate37","chocolate38","chocolate39","chocolate40","chocolate41","chocolate42","chocolate43","chocolate44","chocolate45","chocolate46","chocolate47","chocolate48","chocolate49","chocolate50","chocolate51","chocolate52","chocolate53","chocolate54","chocolate55","chocolate56","chocolate57","chocolate58","chocolate59","chocolate60","chocolate61","chocolate62","chocolate63","chocolate64","chocolate65"
"A15",5,4.23076923076923,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,4,4,4,4,4,4,4,4,4,5,4,5,5,5,4,4,4,4,4,4,3,4,4,4,5,3,5,4,5,4,5,4,3,5,4,4,5,4,4,4,5,4,4,4,5,5,4,4,5
"A16",4,3.29230769230769,5,4,3,5,4,1,5,3,5,4,5,1,4,3,3,5,3,3,3,4,1,4,3,3,3,1,4,5,5,4,1,4,3,3,4,1,1,3,3,1,1,4,4,3,4,4,4,3,1,4,5,3,3,5,3,3,5,3,3,3,4,3,4,4,1
"A22",5,3.36923076923077,4,2,5,5,4,2,3,1,5,3,2,4,3,4,5,5,1,4,3,2,4,4,5,4,4,4,3,5,3,5,3,2,3,4,3,2,1,2,2,4,2,2,5,3,3,3,5,1,2,3,4,5,3,4,5,5,5,2,5,3,2,4,2,5,2
"A41",5,2.93846153846154,3,5,5,2,4,3,4,4,3,5,1,2,5,3,1,2,5,2,5,5,1,5,1,2,1,1,2,4,5,4,4,4,1,2,3,1,1,1,1,1,4,2,4,2,5,2,5,1,2,5,5,2,2,4,5,5,4,1,1,3,1,2,3,5,2
"A42",5,3.84375,4,4,4,5,3,3,2,5,5,3,4,4,3,4,4,5,4,5,3,2,3,3,3,5,4,4,2,3,NA,5,4,3,4,4,3,2,1,5,3,4,5,4,5,4,4,5,5,3,2,3,5,4,5,4,5,3,4,5,5,2,5,5,4,4,5
"A44",4,3.2,4,3,4,5,3,4,3,3,4,4,1,3,5,2,3,4,1,4,2,2,3,2,2,3,3,3,2,4,5,5,4,2,3,3,5,3,1,2,3,3,4,4,4,4,5,4,1,3,2,3,4,4,3,5,1,1,4,4,4,3,4,4,2,2,4
"A55",5,4.109375,5,5,4,5,5,5,4,3,4,4,NA,5,4,4,5,3,2,5,5,5,1,5,3,4,5,5,3,4,5,3,3,5,5,5,4,4,3,5,3,5,5,3,5,4,5,5,5,2,2,5,5,5,5,3,5,5,4,2,5,2,2,5,5,5,2
"A61",5,4.09230769230769,4,5,5,5,5,5,4,4,5,4,4,4,4,2,3,5,4,4,5,4,5,4,4,3,4,4,3,3,4,5,4,5,3,4,4,4,2,3,5,4,5,5,3,3,4,3,5,5,2,5,5,4,5,5,5,5,5,3,4,4,4,4,3,4,4
"A80",5,3.64615384615385,2,4,5,5,5,5,4,5,2,3,2,2,5,2,4,4,2,4,2,5,4,4,4,3,4,3,3,4,5,2,3,5,2,3,4,2,3,4,5,5,4,4,2,2,5,2,3,2,4,5,5,4,5,5,3,3,4,4,5,4,3,4,4,3,4
"A104",5,3.16923076923077,2,4,5,5,4,1,4,5,5,3,5,2,1,1,1,5,5,2,3,2,3,5,4,5,2,1,5,5,2,5,3,5,4,2,5,1,2,2,2,2,3,5,1,3,4,1,2,1,5,3,5,4,2,4,3,3,5,1,3,4,1,3,3,5,2
