"workerID","rate_fries","mean","fries01","fries02","fries03","fries04","fries05","fries06","fries07","fries08","fries09","fries10","fries11","fries12","fries13","fries14","fries15","fries16","fries17","fries18","fries19","fries20","fries21","fries22","fries23","fries24","fries25","fries26","fries27","fries28","fries29","fries30","fries31","fries32","fries33","fries34","fries35","fries36","fries37","fries38","fries39","fries40","fries41","fries42","fries43","fries44","fries45","fries46","fries47","fries48","fries49","fries50","fries51","fries52","fries53","fries54","fries55","fries56","fries57","fries58","fries59","fries60","fries61","fries62","fries63","fries64","fries65"
"A11",5,3.01538461538462,3,2,2,4,3,3,3,4,3,4,4,3,4,4,3,4,2,3,2,4,2,2,3,3,2,3,3,1,1,3,2,3,4,2,3,3,4,2,1,3,4,2,3,4,4,4,4,3,3,2,4,4,4,4,2,2,4,3,4,4,2,3,2,4,3
"A27",5,3.64615384615385,5,4,5,3,3,4,5,5,4,4,4,3,3,3,3,3,2,3,4,2,5,3,3,5,5,3,4,4,4,5,5,4,3,4,5,4,4,4,2,3,4,4,3,4,3,4,4,3,3,3,4,3,4,3,3,3,3,3,4,3,5,3,3,3,4
"A46",5,3.73846153846154,5,4,4,4,5,4,4,4,5,4,5,3,4,4,4,5,4,4,3,4,3,3,4,4,3,3,4,2,3,5,3,4,3,3,3,3,3,3,5,3,4,4,4,3,4,4,3,3,4,3,3,3,3,3,3,3,4,5,5,5,4,5,3,5,3
"A73",5,4.56923076923077,5,5,4,5,5,3,5,5,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,2,5,4,5,4,5,5,5,3,4,5,5,4,5,5,5,5,3,5,5,2,5,5,5,5,5,4,5,4,5,5,5,4,4,5,3
"A81",5,3.76923076923077,3,3,5,5,4,2,4,3,2,3,5,3,5,5,2,4,2,3,5,5,5,4,5,5,2,5,1,3,3,2,2,4,5,5,2,5,4,4,1,5,5,2,5,5,5,5,2,5,5,1,5,5,5,5,3,2,5,4,5,3,5,5,3,3,2
"A86",5,4.30769230769231,4,4,5,5,4,4,3,3,4,4,5,5,5,5,3,4,5,5,5,5,4,4,5,5,2,5,3,3,4,4,1,5,5,5,4,5,5,3,4,5,5,4,5,5,5,5,3,4,5,3,5,5,5,5,5,3,5,4,5,4,5,4,5,5,3
"A89",5,3.89230769230769,3,3,4,4,3,5,4,4,3,4,4,3,3,4,4,5,3,4,4,4,4,3,4,5,4,4,3,3,3,3,5,4,5,3,4,4,3,3,4,3,5,4,3,4,4,5,4,4,3,5,4,5,4,5,5,4,3,4,4,4,4,4,4,5,4
"A108",5,3.87692307692308,4,3,5,4,5,5,3,2,2,3,5,3,4,4,4,3,3,4,5,5,3,5,3,2,3,3,5,2,4,3,1,3,5,5,3,5,5,4,3,2,4,5,5,5,5,4,5,4,4,4,4,4,4,5,5,5,4,4,5,3,3,3,4,5,4
"A172",5,3.70769230769231,3,3,4,3,4,5,3,3,3,3,4,3,3,4,4,3,4,4,4,4,3,4,3,3,3,4,4,2,4,5,3,3,4,5,2,4,4,4,3,4,4,5,4,2,4,4,4,4,4,5,4,3,4,4,3,5,4,3,5,4,4,3,4,4,5
"A183",5,4.2,5,3,5,4,5,4,5,5,4,5,4,3,3,5,2,5,3,4,5,3,5,5,3,5,5,2,4,5,3,5,3,5,5,4,4,4,4,5,4,3,5,5,5,5,3,4,5,5,3,3,5,3,3,3,4,5,4,5,5,5,5,5,5,3,5
"A189",5,3.6,2,3,4,5,3,3,1,3,2,3,5,4,5,5,4,3,2,4,4,5,3,3,5,4,3,4,4,5,4,4,3,3,5,3,4,3,4,4,1,4,5,3,4,4,4,5,2,5,3,4,5,4,2,4,4,2,4,2,4,4,2,3,4,5,3
"A264",5,3.66153846153846,4,2,4,3,4,4,4,3,3,3,4,3,3,4,1,5,5,3,5,4,2,4,4,4,3,3,4,4,4,3,5,2,5,4,3,3,4,4,3,4,5,5,4,3,4,5,3,5,4,2,5,4,3,4,3,5,3,4,3,4,4,3,2,3,5
"A287",5,3.47692307692308,3,4,4,4,5,3,4,5,4,5,4,4,4,4,2,4,5,4,3,4,5,2,3,4,3,4,3,3,3,2,3,4,4,2,2,3,3,4,3,3,4,1,5,3,3,3,3,5,3,1,5,4,3,5,4,2,4,5,2,4,3,4,2,4,2
"A295",5,3.234375,5,1,4,5,1,NA,4,1,1,1,4,5,5,5,1,1,2,2,3,5,1,4,5,5,1,5,2,1,5,2,1,1,5,5,3,4,5,2,1,5,5,3,3,3,5,5,4,5,5,1,5,5,4,5,4,1,5,1,3,1,5,1,1,5,3
"A313",5,2.578125,1,1,5,2,1,5,2,1,3,4,1,2,2,3,1,2,1,1,5,NA,2,2,1,2,2,1,2,1,5,3,1,1,3,3,4,2,3,4,1,1,4,3,4,5,1,4,5,4,5,2,2,5,5,2,3,2,3,2,3,3,2,1,3,2,3
"A332",5,4.36923076923077,4,3,4,5,5,5,4,5,4,3,5,5,5,5,4,5,4,5,5,5,4,5,5,3,3,5,5,2,5,4,3,4,5,5,5,5,5,4,3,4,5,2,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,3,5,3,5,5,3,5,3
"A339",5,2.10769230769231,1,1,2,3,1,4,2,2,2,1,1,1,5,4,1,1,1,1,5,1,3,4,3,3,2,1,3,1,3,2,1,1,4,3,3,1,5,1,1,1,4,2,2,3,1,3,2,3,4,1,1,3,5,3,2,1,2,1,2,1,1,1,1,1,1
"A343",5,4.36923076923077,5,5,5,5,3,3,5,5,4,4,5,5,5,5,2,4,4,5,5,5,5,5,5,5,5,5,4,3,5,3,5,2,5,4,5,5,5,4,3,5,5,4,5,5,5,5,3,5,5,1,5,5,5,5,5,2,5,4,5,3,5,3,5,5,2
"A394",5,3.13846153846154,5,2,5,4,1,3,5,3,2,1,2,3,5,4,3,1,3,3,2,3,2,3,5,3,1,2,2,1,2,3,2,1,2,4,5,4,2,3,1,3,5,3,4,4,3,4,3,5,5,1,4,2,4,3,3,5,4,4,5,2,5,3,4,5,3
"A407",5,4.35384615384615,5,5,5,4,5,5,5,5,5,5,4,4,4,4,2,4,5,4,5,4,5,5,3,5,5,4,5,5,5,5,5,3,3,5,5,4,5,5,3,3,5,4,5,5,3,5,5,4,4,4,3,4,4,3,3,4,4,5,5,5,5,4,4,4,5
