"workerID","rate_pasta","mean","pasta01","pasta02","pasta03","pasta04","pasta05","pasta06","pasta07","pasta08","pasta09","pasta10","pasta11","pasta12","pasta13","pasta14","pasta15","pasta16","pasta17","pasta18","pasta19","pasta20","pasta21","pasta22","pasta23","pasta24","pasta25","pasta26","pasta27","pasta28","pasta29","pasta30","pasta31","pasta32","pasta33","pasta34","pasta35","pasta36","pasta37","pasta38","pasta39","pasta40","pasta41","pasta42","pasta43","pasta44","pasta45","pasta46","pasta47","pasta48","pasta49","pasta50","pasta51","pasta52","pasta53","pasta54","pasta55","pasta56","pasta57","pasta58","pasta59","pasta60","pasta61","pasta62","pasta63","pasta64","pasta65"
"A37",5,4.484375,3,5,5,5,4,5,4,5,4,4,5,5,4,4,5,5,4,4,5,5,5,5,5,3,4,3,5,4,5,5,5,4,3,5,4,3,4,5,4,4,5,5,5,NA,5,4,5,5,5,5,5,5,4,4,5,3,4,4,5,5,5,4,5,5,5
"A94",5,4.06153846153846,5,4,2,3,5,5,4,4,4,5,4,5,3,5,4,3,3,5,5,5,4,5,2,5,5,4,3,5,4,4,4,5,5,5,1,2,4,5,5,4,5,4,5,4,5,5,5,2,5,3,4,5,2,5,5,5,5,5,4,2,3,2,4,2,4
"A96",5,3.29230769230769,3,4,5,4,2,4,5,4,3,4,5,3,4,5,4,4,3,4,5,2,2,3,3,3,2,4,3,1,2,2,1,3,2,2,2,4,5,5,4,2,1,3,3,2,3,4,5,4,2,2,4,3,4,2,3,4,4,3,4,3,3,3,5,4,4
"A100",5,3.93846153846154,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"A120",5,3.81538461538462,3,5,5,5,4,5,5,3,4,4,5,4,2,3,3,4,4,4,4,2,4,3,4,4,4,2,3,2,3,4,4,1,4,2,3,4,4,4,2,3,4,5,4,5,3,3,5,5,4,5,4,4,4,4,4,4,5,4,4,5,4,5,4,4,4
"A143",5,4.18461538461538,4,4,5,5,3,3,5,4,5,3,4,3,5,3,3,5,5,5,5,5,5,2,5,5,4,4,4,4,4,4,3,5,3,2,5,3,4,5,5,4,4,4,5,5,5,4,5,4,4,4,5,4,5,4,4,4,3,3,5,5,5,4,4,4,5
"A151",5,3.87692307692308,5,5,5,5,4,5,5,2,5,2,5,1,1,4,3,5,5,3,4,5,2,1,4,5,2,4,5,3,3,2,3,2,3,1,2,2,1,3,5,3,5,5,5,3,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,5,5,5,4
"A173",5,3.6,4,2,2,2,5,4,3,5,4,5,2,4,4,2,4,2,5,2,5,3,3,4,4,2,5,4,3,3,4,4,4,3,3,3,2,3,4,3,4,2,2,2,5,5,5,5,2,2,5,3,5,5,5,5,2,5,5,5,4,5,4,2,2,4,4
"A186",5,2.98461538461538,3,1,5,1,4,5,2,4,5,5,4,3,3,3,5,1,4,2,3,1,4,3,4,1,2,1,4,5,1,1,1,1,2,1,1,1,3,1,1,1,2,2,5,4,1,4,5,3,5,4,5,4,5,5,1,5,5,5,4,4,4,2,1,3,3
"A187",5,3.61538461538462,2,5,5,5,4,4,5,2,5,3,5,2,1,5,4,5,5,4,3,3,4,3,4,5,3,3,5,2,4,2,2,4,4,2,2,4,2,4,3,3,4,5,4,3,2,3,5,5,4,5,2,2,2,4,5,3,3,4,5,3,4,5,5,4,2
"A199",5,3.96923076923077,5,5,5,5,5,5,3,5,4,4,5,4,4,4,2,5,5,2,5,1,4,5,2,3,1,3,3,1,2,2,2,2,2,3,1,2,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5
"A200",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"A209",5,3.2,1,5,5,5,1,1,5,5,5,1,3,1,2,1,1,5,5,1,3,2,4,1,1,3,4,1,1,1,1,5,1,1,1,1,1,2,5,3,1,5,5,5,5,5,5,3,5,5,2,5,5,5,5,1,5,3,1,2,5,5,5,5,5,5,5
"A272",4,2.12307692307692,1,1,3,1,1,4,5,1,3,4,1,5,1,1,4,1,1,2,1,3,3,1,4,4,3,5,4,3,3,1,1,3,3,1,1,5,1,1,2,1,2,1,5,4,1,3,2,1,1,1,1,1,1,1,1,1,2,1,3,2,2,1,1,4,1
"A278",5,4.30769230769231,5,5,5,5,5,3,5,4,5,3,5,4,5,3,5,5,5,4,4,3,3,4,2,5,3,3,4,4,5,3,4,3,2,3,4,4,5,5,4,3,4,5,5,5,4,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5
"A297",5,4.34920634920635,5,5,3,5,5,5,4,3,5,4,NA,3,3,4,5,5,5,5,5,4,5,5,4,4,4,5,5,5,4,3,4,5,5,5,5,4,4,5,5,3,5,5,5,5,3,5,4,5,4,3,3,3,3,3,5,5,4,NA,5,5,5,5,5,4,3
"A308",5,2.89230769230769,4,5,4,4,5,3,3,2,4,4,5,1,4,3,2,3,4,4,2,2,1,4,1,2,2,3,4,2,2,1,2,3,2,4,1,1,3,2,3,1,4,4,2,2,3,3,3,3,5,3,2,3,2,3,3,3,4,5,3,1,2,5,4,3,1
"A326",5,3.86153846153846,3,3,5,5,5,4,5,5,5,3,5,1,5,1,2,5,5,1,5,1,3,4,4,5,3,3,5,1,4,2,2,3,2,1,1,3,5,5,5,5,4,4,5,2,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,4,3,5,4,3,5
"A328",5,4.75384615384615,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,4,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,5,3
