"image","mean","sd","n"
"bbq01",4.30769230769231,0.679366220486757,26
"bbq02",4.38461538461539,1.02281662391352,26
"bbq03",4.53846153846154,0.811456430414806,26
"bbq04",4.15384615384615,0.784464540552736,26
"bbq05",4.19230769230769,0.749358700182003,26
"bbq06",4.5,0.58309518948453,26
"bbq07",3.88461538461538,1.03254726097833,26
"bbq08",4.46153846153846,0.760566590418971,26
"bbq09",4.07692307692308,0.890980445265862,26
"bbq10",4.53846153846154,0.646886032050112,26
"bbq11",4.34615384615385,0.689481410470663,26
"bbq12",4.19230769230769,0.895286804068094,26
"bbq13",4.42307692307692,0.643308754678618,26
"bbq14",3.96153846153846,1.24838357024656,26
"bbq15",3.57692307692308,1.39062797104263,26
"bbq16",3.65384615384615,1.26308535554198,26
"bbq17",4.19230769230769,1.1320505560877,26
"bbq18",4.53846153846154,0.706018086497463,26
"bbq19",4.38461538461539,0.897860705317838,26
"bbq20",4.57692307692308,0.503831473655779,26
"bbq21",4,1.01980390271856,26
"bbq22",4.34615384615385,0.745241313525099,26
"bbq23",4.15384615384615,0.924870053242408,26
"bbq24",4.26923076923077,0.777570179865062,26
"bbq25",4.07692307692308,0.976650476806393,26
"bbq26",4.53846153846154,0.760566590418971,26
"bbq27",3.88461538461538,1.14287087903833,26
"bbq28",4.46153846153846,0.706018086497463,26
"bbq29",4.4,0.763762615825973,26
"bbq30",4.30769230769231,0.884046639911301,26
"bbq31",3.88461538461538,1.21084839932745,26
"bbq32",4.42307692307692,0.856648208920181,26
"bbq33",4.42307692307692,0.757526338714473,26
"bbq34",4.61538461538461,0.496138938356834,26
"bbq35",4.57692307692308,0.757526338714473,26
"bbq36",4.46153846153846,0.989172148041754,26
"bbq37",4.57692307692308,0.702741882803461,26
"bbq38",4.69230769230769,0.61768799691953,26
"bbq39",4.42307692307692,0.643308754678618,26
"bbq40",4.30769230769231,0.837578928542535,26
"bbq41",4.42307692307692,0.57779421409889,26
"bbq42",4.03846153846154,1.21592003785674,26
"bbq43",4.07692307692308,1.09263267105014,26
"bbq44",4.53846153846154,0.646886032050112,26
"bbq45",4.30769230769231,0.73589296880624,26
"bbq46",4.53846153846154,0.646886032050112,26
"bbq47",4.15384615384615,0.924870053242408,26
"bbq48",4.46153846153846,0.760566590418971,26
"bbq49",4.03846153846154,1.11286186854503,26
"bbq50",4.42307692307692,0.80860754006264,26
"bbq51",4,1.2328828005938,26
"bbq52",3.73076923076923,1.34335973760396,26
"bbq53",4.15384615384615,1.18969938025731,26
"bbq54",4.38461538461539,0.637302005452553,26
"bbq55",4.65384615384615,0.561591146105969,26
"bbq56",4.34615384615385,0.977437780825263,26
"bbq57",4.11538461538461,1.2434443478314,26
"bbq58",4.15384615384615,0.924870053242408,26
"bbq59",4.08,1.15181016954473,26
"bbq60",4.5,0.989949493661167,26
