"image","mean","sd","n"
"burgers01",3.88888888888889,1.12089707663561,27
"burgers02",3.88888888888889,0.974021534011414,27
"burgers03",3.7037037037037,1.13729824296325,27
"burgers04",3.77777777777778,1.18754217199071,27
"burgers05",3.77777777777778,1.21949968724042,27
"burgers06",4.25925925925926,0.90267093384844,27
"burgers07",4.11111111111111,0.974021534011414,27
"burgers08",3.11111111111111,1.21949968724042,27
"burgers09",3.55555555555556,1.01273936708367,27
"burgers10",4,0.9198662110078,27
"burgers11",3.51851851851852,1.1887411043223,27
"burgers12",3.74074074074074,1.37540462836865,27
"burgers13",3.85185185185185,1.26197963240006,27
"burgers14",2.74074074074074,1.22764917917233,27
"burgers15",4.22222222222222,1.01273936708367,27
"burgers16",3.33333333333333,1.38675049056307,27
"burgers17",3.7037037037037,1.17062819476142,27
"burgers18",4.07407407407407,0.997146927138621,27
"burgers19",3.59259259259259,1.24836074850364,27
"burgers20",3.61538461538462,1.26734125086886,27
"burgers21",3.25925925925926,1.16330406742019,27
"burgers22",3.11111111111111,1.47630863287023,27
"burgers23",4.11111111111111,0.933699561847852,27
"burgers24",4.07407407407407,0.997146927138621,27
"burgers25",4.07407407407407,0.997146927138621,27
"burgers26",3.66666666666667,1.33012434352235,27
"burgers27",3.40740740740741,1.36605156055577,27
"burgers28",3.33333333333333,1.27097781860449,27
"burgers29",3.88888888888889,1.08604197869474,27
"burgers30",3.81481481481481,0.833760574239809,27
"burgers31",3.85185185185185,0.988538303359044,27
"burgers32",3.96296296296296,1.12596903501218,27
"burgers33",3.74074074074074,0.90267093384844,27
"burgers34",3.76923076923077,1.36550920341658,27
"burgers35",4.22222222222222,1.05003052458683,27
"burgers36",3.92592592592593,0.828619144486589,27
"burgers37",4.11111111111111,0.974021534011414,27
"burgers38",3.66666666666667,1.1766968108291,27
"burgers39",3.81481481481481,1.00142348826508,27
"burgers40",3.55555555555556,1.15470053837925,27
"burgers41",3.55555555555556,1.47630863287023,27
"burgers42",4.33333333333333,0.832050294337844,27
"burgers43",3.51851851851852,1.28213674928794,27
"burgers44",4.18518518518519,1.03912082058444,27
"burgers45",4.14814814814815,1.09908016449084,27
"burgers46",3.81481481481481,1.07549763211973,27
"burgers47",3.22222222222222,1.50213523239762,27
"burgers48",3.2962962962963,1.17062819476142,27
"burgers49",3.85185185185185,1.06351028723475,27
"burgers50",4.37037037037037,0.629294363562392,27
"burgers51",4.07407407407407,1.03500003440825,27
"burgers52",3.37037037037037,1.24493274913047,27
"burgers53",3.85185185185185,1.35031915611156,27
"burgers54",3.92592592592593,1.26873425495121,27
"burgers55",3.92592592592593,1.03500003440825,27
"burgers56",3.55555555555556,1.08604197869474,27
"burgers57",3.74074074074074,1.19590945735847,27
"burgers58",3.37037037037037,1.21364511820156,27
"burgers59",3.92592592592593,1.03500003440825,27
"burgers60",4.25925925925926,0.944318744777362,27
