"image","mean","sd","n"
"candy01",2.94736842105263,1.35292621998583,19
"candy02",3.10526315789474,1.52369203807744,19
"candy03",3.15789473684211,1.21395395733377,19
"candy04",2.94736842105263,1.74717817607346,19
"candy05",3.52631578947368,1.3067525929499,19
"candy06",3.68421052631579,1.37649440322337,19
"candy07",3.36842105263158,1.64013977438881,19
"candy08",3.10526315789474,1.76051560762135,19
"candy09",4.15789473684211,1.16729306492209,19
"candy10",2.57894736842105,1.50243467129871,19
"candy11",3.21052631578947,1.31567250942124,19
"candy12",2.84210526315789,1.46299380627294,19
"candy13",2.15789473684211,1.50048725029708,19
"candy14",3.10526315789474,1.28645666861885,19
"candy15",2.94736842105263,1.43270079882276,19
"candy16",3.42105263157895,1.42656500703552,19
"candy17",4.10526315789474,1.32894013083548,19
"candy18",3.26315789473684,1.40799720892865,19
"candy19",3.21052631578947,1.39757517660733,19
"candy20",3.26315789473684,1.44691646319405,19
"candy21",4,1.24721912892465,19
"candy22",3.21052631578947,1.4749368110164,19
"candy23",2.84210526315789,1.50048725029708,19
"candy24",3.05263157894737,1.50826184768083,19
"candy25",2.68421052631579,1.60043853639305,19
"candy26",3.63157894736842,1.42245977548242,19
"candy27",2.52631578947368,1.17229220156408,19
"candy28",3.78947368421053,1.31567250942124,19
"candy29",3.73684210526316,1.44691646319405,19
"candy30",4.15789473684211,0.958190302064658,19
"candy31",3.89473684210526,1.32894013083548,19
"candy32",3.31578947368421,1.20428086327933,19
"candy33",2.94736842105263,1.26814318375447,19
"candy34",3.73684210526316,1.484815935587,19
"candy35",3.31578947368421,1.45497734151687,19
"candy36",3.31578947368421,1.60043853639305,19
"candy37",3.47368421052632,1.42861319905516,19
"candy38",2.68421052631579,1.10818327700728,19
"candy39",3.26315789473684,1.32673807442489,19
"candy40",3.21052631578947,1.35724178507659,19
"candy41",3.26315789473684,1.62761260962722,19
"candy42",3.10526315789474,1.52369203807744,19
"candy43",3.36842105263158,1.42245977548242,19
"candy44",3.63157894736842,1.06513047274811,19
"candy45",3.42105263157895,1.34642693714736,19
"candy46",3.52631578947368,1.57650883821153,19
"candy47",2.52631578947368,1.21876171459357,19
"candy48",3.57894736842105,1.34642693714736,19
"candy49",3.21052631578947,1.58391032884585,19
"candy50",2.68421052631579,1.4162796168894,19
"candy51",3.36842105263158,1.49853729853071,19
"candy52",3.10526315789474,1.32894013083548,19
"candy53",2.68421052631579,1.52943822580375,19
"candy54",4.15789473684211,1.01451454700358,19
"candy55",3.10526315789474,1.14962490704603,19
"candy56",3.42105263157895,1.42656500703552,19
"candy57",3.36842105263158,1.57093483547534,19
"candy58",3.42105263157895,1.53896752812773,19
"candy59",4.15789473684211,1.16729306492209,19
"candy60",4.05263157894737,1.31122013621437,19
