"image","mean","sd","n"
"chips01",3.56,1.26095202129185,25
"chips02",3.56,1.3253930234714,25
"chips03",3.4,1.4142135623731,25
"chips04",3.96,1.20692446601545,25
"chips05",2.12,1.33291660154215,25
"chips06",3.68,1.34536240470737,25
"chips07",3.88,1.12989675044522,25
"chips08",3.24,1.2,25
"chips09",3.76,1.39283882771841,25
"chips10",3.76,1.2675435561221,25
"chips11",3.72,1.42945210949277,25
"chips12",3.16,1.51877143331927,25
"chips13",3,1.47196014438797,25
"chips14",3.84,1.14309521329882,25
"chips15",4.32,0.852447456836295,25
"chips16",3.20833333333333,1.28466428254256,25
"chips17",4.16,0.98657657246325,25
"chips18",4,1.11803398874989,25
"chips19",4.04,1.20692446601545,25
"chips20",3.08,1.44106442141449,25
"chips21",3.32,1.21518174223721,25
"chips22",3.76,1.36259556239798,25
"chips23",3.32,1.14455231422596,25
"chips24",3.48,1.32664991614216,25
"chips25",3.48,1.22882057274445,25
"chips26",4.36,0.907377172587747,25
"chips27",4.16,1.14309521329882,25
"chips28",3.64,1.31909059582729,25
"chips29",3.08,1.38202749610853,25
"chips30",3.56,1.26095202129185,25
"chips31",3.4,1.29099444873581,25
"chips32",4.24,0.969535971483266,25
"chips33",3.36,1.41067359796659,25
"chips34",2.88,1.16619037896906,25
"chips35",3.44,1.22746350930146,25
"chips36",3.56,1.29357386079548,25
"chips37",4.32,1.06926766215636,25
"chips38",2.04,1.30639452948436,25
"chips39",3.12,1.33291660154215,25
"chips40",4.2,1.11803398874989,25
"chips41",3.76,1.2,25
"chips42",3.88,1.23558353285671,25
"chips43",3.66666666666667,1.37260991217989,25
"chips44",4.16,1.24766448481419,25
"chips45",3.72,1.33915396177338,25
"chips46",4.4,0.866025403784439,25
"chips47",3.72,1.24230967690561,25
"chips48",3.68,1.31402688962847,25
"chips49",3.48,1.19443152447793,25
"chips50",4,1.29099444873581,25
"chips51",3.92,1.11504857891185,25
"chips52",3.52,1.41774468787578,25
"chips53",3.68,1.14455231422596,25
"chips54",4.12,1.01324561023804,25
"chips55",4,1.11803398874989,25
"chips56",3.68,1.14455231422596,25
"chips57",3.44,1.41656862405839,25
"chips58",3.52,1.44683562761405,25
"chips59",3.6,1.08012344973464,25
"chips60",3.72,1.27540843131393,25
