"image","mean","sd","n"
"chocolate01",3.83333333333333,1.01991660691327,30
"chocolate02",4.1,0.844862771962569,30
"chocolate03",4.16666666666667,0.912870929175277,30
"chocolate04",4.3,0.915385729888094,30
"chocolate05",3.83333333333333,1.11674815279973,30
"chocolate06",3.86666666666667,1.27936765989898,30
"chocolate07",3.6,1.27576886891653,30
"chocolate08",3.9,1.21343058849835,30
"chocolate09",3.83333333333333,1.11674815279973,30
"chocolate10",3.8,1.18612670137896,30
"chocolate11",3.48275862068966,1.29891959652112,30
"chocolate12",3.8,1.15668968806796,30
"chocolate13",4.23333333333333,1.04000442085709,30
"chocolate14",3.46666666666667,1.22427553055374,30
"chocolate15",3.66666666666667,1.24105998447193,30
"chocolate16",4.06896551724138,1.06673850332814,30
"chocolate17",3.33333333333333,1.39786372315249,30
"chocolate18",3.86666666666667,1.22427553055374,30
"chocolate19",3.76666666666667,1.07264845715811,30
"chocolate20",3.63333333333333,1.18854687672002,30
"chocolate21",3.16666666666667,1.51049965091102,30
"chocolate22",3.56666666666667,1.25074690329097,30
"chocolate23",3.5,1.30648251106708,30
"chocolate24",3.66666666666667,1.29543850473121,30
"chocolate25",3.9,1.02889294372892,30
"chocolate26",3.53333333333333,1.38298361456704,30
"chocolate27",3.26666666666667,1.11210683353507,30
"chocolate28",4.03448275862069,1.23874241011628,30
"chocolate29",4.24137931034483,0.98760794758248,30
"chocolate30",4.03333333333333,1.15917132509372,30
"chocolate31",3.6,1.16263671795236,30
"chocolate32",3.83333333333333,1.05318346089314,30
"chocolate33",3.53333333333333,1.19577801345871,30
"chocolate34",4,0.870988340711385,30
"chocolate35",3.86666666666667,1.00801386598746,30
"chocolate36",3,1.31306432859723,30
"chocolate37",2.53333333333333,1.33218341217648,30
"chocolate38",3.6,1.30251745636591,30
"chocolate39",3.46666666666667,1.47935991128813,30
"chocolate40",3.8,1.32352715798771,30
"chocolate41",4.13333333333333,1.00801386598746,30
"chocolate42",3.83333333333333,1.05318346089314,30
"chocolate43",3.9,1.3480509557544,30
"chocolate44",3.8,1.06350104972145,30
"chocolate45",4.1,1.09387006730138,30
"chocolate46",3.6,1.30251745636591,30
"chocolate47",4.03333333333333,1.24522074855974,30
"chocolate48",3.3,1.3683617186634,30
"chocolate49",3.13333333333333,1.30604254388469,30
"chocolate50",4.23333333333333,0.971430986184577,30
"chocolate51",4.33333333333333,1.06133726101046,30
"chocolate52",3.93333333333333,0.980265035707122,30
"chocolate53",3.93333333333333,1.08065539926196,30
"chocolate54",4.33333333333333,0.884086644736984,30
"chocolate55",4.13333333333333,1.13664155431187,30
"chocolate56",4.03333333333333,1.12903172837532,30
"chocolate57",4.33333333333333,0.844182254113956,30
"chocolate58",3.56666666666667,1.406471087346,30
"chocolate59",4.2,0.99654575824488,30
"chocolate60",3.4,1.22051430651746,30
"chocolate61",3.76666666666667,1.30472175216584,30
"chocolate62",4.03333333333333,0.964305479332802,30
"chocolate63",3.63333333333333,1.15917132509372,30
"chocolate64",3.83333333333333,1.11674815279973,30
"chocolate65",3.6,1.24844731152547,30
