"image","mean","sd","n"
"cookies01",4.15384615384615,0.967152839723182,26
"cookies02",4.15384615384615,1.08415156476602,26
"cookies03",4.11538461538461,1.14287087903833,26
"cookies04",4.34615384615385,1.29436649191201,26
"cookies05",4.65384615384615,0.689481410470663,26
"cookies06",4.23076923076923,1.03180200843737,26
"cookies07",4.11538461538461,1.14287087903833,26
"cookies08",4.42307692307692,0.80860754006264,26
"cookies09",4.26923076923077,1.18516470780031,26
"cookies10",3.88461538461538,1.33647066789879,26
"cookies11",4,1.3856406460551,26
"cookies12",4.12,1.16619037896906,26
"cookies13",3.42307692307692,1.55365573852323,26
"cookies14",4.11538461538461,1.10731831293167,26
"cookies15",3.84615384615385,1.15558842819778,26
"cookies16",4.30769230769231,1.04954202466526,26
"cookies17",3.57692307692308,1.447012838176,26
"cookies18",3.46153846153846,1.39228644267677,26
"cookies19",3.88461538461538,1.3061982415215,26
"cookies20",4.07692307692308,1.19743315214093,26
"cookies21",2.84615384615385,1.54122828139916,26
"cookies22",4.15384615384615,1.15558842819778,26
"cookies23",4.03846153846154,1.07631851162262,26
"cookies24",3.53846153846154,1.27218769781095,26
"cookies25",4.26923076923077,1.07917347290201,26
"cookies26",3.19230769230769,1.20064085451831,26
"cookies27",3.52,1.44683562761405,26
"cookies28",3.38461538461538,1.38785944755002,26
"cookies29",4.23076923076923,0.992277876713668,26
"cookies30",3.26923076923077,1.53773059559059,26
"cookies31",3.34615384615385,1.49512026786631,26
"cookies32",2.76923076923077,1.47804444608929,26
"cookies33",2.92307692307692,1.46759877141069,26
"cookies34",2.76923076923077,1.2428255648382,26
"cookies35",3.46153846153846,1.20766780964864,26
"cookies36",3.07692307692308,1.52113318083794,26
"cookies37",2.69230769230769,1.31967361932353,26
"cookies38",2.84615384615385,1.43366126242729,26
"cookies39",3.03846153846154,1.56155740799419,26
"cookies40",2.92307692307692,1.49460568507087,26
"cookies41",4.61538461538461,0.752431954500769,26
"cookies42",4.23076923076923,0.992277876713668,26
"cookies43",3.84615384615385,1.34736209512685,26
"cookies44",2.88461538461538,1.58308365102854,26
"cookies45",4.19230769230769,1.2335065713398,26
"cookies46",3.88461538461538,1.3061982415215,26
"cookies47",3.61538461538462,1.26734125086886,26
"cookies48",3.69230769230769,1.31967361932353,26
"cookies49",3.92307692307692,1.23038455526967,26
"cookies50",2.88461538461538,1.45125940002256,26
"cookies51",2.88461538461538,1.47856479268034,26
"cookies52",4.34615384615385,0.977437780825263,26
"cookies53",3.53846153846154,1.65482976117229,26
"cookies54",3.42307692307692,1.27037244690136,26
"cookies55",3.42307692307692,1.72448431533782,26
"cookies56",3.92307692307692,1.26247619931869,26
"cookies57",3.38461538461538,1.41638760449033,26
"cookies58",4.19230769230769,1.26551904827168,26
"cookies59",3.26923076923077,1.31324612491923,26
"cookies60",3.88461538461538,1.42343030955289,26
"cookies61",3.76923076923077,1.63236496673244,26
"cookies62",3.76923076923077,1.3056092005709,26
"cookies63",3.65384615384615,1.19807537967551,26
"cookies64",3.73076923076923,1.25084586764932,26
"cookies65",4.5,0.707106781186548,26
"cookies66",3.46153846153846,1.63047892916822,26
"cookies67",4,1.16619037896906,26
"cookies68",3.80769230769231,1.52365956221804,26
"cookies69",3.80769230769231,1.35703296258361,26
"cookies70",3.15384615384615,1.46129552636851,26
