"image","mean","sd","n"
"donuts01",3.4,1.38443731048635,25
"donuts02",4.28,1.06144555520604,25
"donuts03",3.84,1.1060440015358,25
"donuts04",3.92,0.90921211313239,25
"donuts05",3.88,1.23558353285671,25
"donuts06",3.92,0.99666109251507,25
"donuts07",3.52,1.44683562761405,25
"donuts08",3.92,1.0770329614269,25
"donuts09",3.6,1.22474487139159,25
"donuts10",4.12,0.881286937760152,25
"donuts11",3.72,1.1,25
"donuts12",3.64,1.28711563842052,25
"donuts13",3.68,1.21518174223721,25
"donuts14",3.76,1.3,25
"donuts15",3.8,1.25830573921179,25
"donuts16",4,0.957427107756338,25
"donuts17",3.84,1.1060440015358,25
"donuts18",2.92,1.38202749610853,25
"donuts19",3.56,1.41656862405839,25
"donuts20",3.68,1.18039541397505,25
"donuts21",4.12,1.01324561023804,25
"donuts22",3.44,1.29357386079548,25
"donuts23",3.75,1.07339364309813,25
"donuts24",4,1.15470053837925,25
"donuts25",3.24,1.56204993518133,25
"donuts26",3.8,1.44337567297406,25
"donuts27",3.84,1.1060440015358,25
"donuts28",3.4,1.4142135623731,25
"donuts29",3.6,1.29099444873581,25
"donuts30",3.6,1.44337567297406,25
"donuts31",3.68,1.06926766215636,25
"donuts32",3.68,1.40593978059754,25
"donuts33",3.96,1.05987420637231,25
"donuts34",3.64,1.31909059582729,25
"donuts35",3.4,1.4142135623731,25
"donuts36",3.6,1.38443731048635,25
"donuts37",3.64,1.03601801786134,25
"donuts38",3,1.4142135623731,25
"donuts39",3.36,1.113552872566,25
"donuts40",3.375,1.27901116696352,25
"donuts41",3.2,1.38443731048635,25
"donuts42",3.76,1.36259556239798,25
"donuts43",3.8,1.35400640077266,25
"donuts44",2.84,1.54596248337403,25
"donuts45",4.08,1.18743420870379,25
"donuts46",3.2,1.52752523165195,25
"donuts47",3.08,1.44106442141449,25
"donuts48",3.96,1.05987420637231,25
"donuts49",3.76,1.23423390543824,25
"donuts50",3.6,1.29099444873581,25
"donuts51",3.6,1.44337567297406,25
"donuts52",4.12,1.20138808606267,25
"donuts53",3.2,1.38443731048635,25
"donuts54",3.8,1.35400640077266,25
"donuts55",3.76,1.2675435561221,25
"donuts56",3.68,1.10754984838908,25
"donuts57",3.52,1.58429795177549,25
"donuts58",3.56,1.3253930234714,25
"donuts59",3.76,1.16476034731041,25
"donuts60",3.32,1.31402688962847,25
"donuts61",3.44,1.60934769394311,25
"donuts62",4.2,1,25
"donuts63",3.52,1.29486163997034,25
"donuts64",3.28,1.27540843131393,25
"donuts65",3.04,1.45716619962629,25
