"image","mean","sd","n"
"fries01",3.82608695652174,1.30217209842365,23
"fries02",3.17391304347826,1.26678454482361,23
"fries03",4.34782608695652,0.884651736929383,23
"fries04",4.1304347826087,0.86887324245971,23
"fries05",3.52173913043478,1.41001499725716,23
"fries06",4,0.925820099772551,23
"fries07",3.82608695652174,1.15412989315617,23
"fries08",3.73913043478261,1.35570817804999,23
"fries09",3.30434782608696,1.10514427724066,23
"fries10",3.52173913043478,1.23838476974835,23
"fries11",4.08695652173913,1.2027636160965,23
"fries12",3.56521739130435,1.07981845934321,23
"fries13",4.17391304347826,0.936733876686023,23
"fries14",4.30434782608696,0.702901946394417,23
"fries15",3,1.34839972492648,23
"fries16",3.52173913043478,1.44189159904592,23
"fries17",3.30434782608696,1.36297744290998,23
"fries18",3.65217391304348,1.15241626208012,23
"fries19",4.21739130434783,1.04257207028537,23
"fries20",4.09090909090909,1.10879990504925,23
"fries21",3.56521739130435,1.27300956778957,23
"fries22",3.82608695652174,1.07247267026181,23
"fries23",3.95652173913043,1.10693109211357,23
"fries24",4,1.04446593573419,23
"fries25",3.26086956521739,1.35570817804999,23
"fries26",3.69565217391304,1.29456144236697,23
"fries27",3.60869565217391,1.11759199071374,23
"fries28",2.95652173913043,1.46095426067302,23
"fries29",3.82608695652174,1.11404969340133,23
"fries30",3.30434782608696,1.25895998234819,23
"fries31",3.08695652173913,1.53483915290705,23
"fries32",2.95652173913043,1.42950280198031,23
"fries33",4.26086956521739,0.963770592485946,23
"fries34",4,1,23
"fries35",3.78260869565217,1.04257207028537,23
"fries36",3.91304347826087,1.08347267777192,23
"fries37",4.17391304347826,0.886882892394556,23
"fries38",3.65217391304348,1.02729546303848,23
"fries39",2.73913043478261,1.35570817804999,23
"fries40",3.56521739130435,1.23678788350093,23
"fries41",4.60869565217391,0.499010879347845,23
"fries42",3.60869565217391,1.19617308092336,23
"fries43",4.21739130434783,0.902346523798844,23
"fries44",4.17391304347826,0.936733876686023,23
"fries45",3.91304347826087,1.2027636160965,23
"fries46",4.39130434782609,0.722315118514615,23
"fries47",3.73913043478261,1.0538842141141,23
"fries48",4.30434782608696,0.822124885928678,23
"fries49",4.17391304347826,0.834057656228299,23
"fries50",2.73913043478261,1.38883179504961,23
"fries51",4.21739130434783,1.08529517305119,23
"fries52",4.08695652173913,0.949308048396825,23
"fries53",4.17391304347826,0.886882892394556,23
"fries54",4.08695652173913,0.996039588400019,23
"fries55",3.78260869565217,1.04257207028537,23
"fries56",3.21739130434783,1.31275289300872,23
"fries57",4.04347826086957,0.877924249660694,23
"fries58",3.60869565217391,1.19617308092336,23
"fries59",4.26086956521739,1.00983307821135,23
"fries60",3.47826086956522,1.12288448436043,23
"fries61",4,1.27920429813366,23
"fries62",3.39130434782609,1.19617308092336,23
"fries63",3.43478260869565,1.19947287500202,23
"fries64",4.08695652173913,1.16435871847831,23
"fries65",3.39130434782609,1.11759199071374,23
