"image","mean","sd","n"
"fruit01",3.81481481481481,1.14478876241048,27
"fruit02",4.66666666666667,0.620173672946042,27
"fruit03",4.40740740740741,1.04731375282964,27
"fruit04",4.62962962962963,0.564879030490882,27
"fruit05",4.55555555555556,0.974021534011415,27
"fruit06",3.7037037037037,1.17062819476142,27
"fruit07",3.81481481481481,1.17790678216249,27
"fruit08",3.44444444444444,1.33972825411417,27
"fruit09",4.7037037037037,0.541707756495413,27
"fruit10",3.62962962962963,1.47147618575435,27
"fruit11",4.25925925925926,0.984205755246823,27
"fruit12",4.14814814814815,0.948833441803618,27
"fruit13",4,1.10940039245046,27
"fruit14",3.44444444444444,1.36813554584145,27
"fruit15",3.40740740740741,1.33760001090527,27
"fruit16",4.25925925925926,1.16330406742019,27
"fruit17",4.37037037037037,0.838870492807861,27
"fruit18",4.37037037037037,1.04322532960003,27
"fruit19",4.11111111111111,1.31070542760329,27
"fruit20",4.14814814814815,0.988538303359044,27
"fruit21",4.25925925925926,1.09518500694184,27
"fruit22",4.33333333333333,1.10940039245046,27
"fruit23",4.48148148148148,0.802417998224519,27
"fruit24",4.62962962962963,0.883530860030809,27
"fruit25",4.40740740740741,0.97109213930499,27
"fruit26",4.11538461538461,1.3061982415215,27
"fruit27",3.2962962962963,1.32475875350411,27
"fruit28",4.2962962962963,0.992851945536184,27
"fruit29",4.51851851851852,0.700020349724557,27
"fruit30",4.44444444444444,1.12089707663561,27
"fruit31",4,1.30088727117598,27
"fruit32",3.96296296296296,1.12596903501218,27
"fruit33",4.59259259259259,0.693888666488711,27
"fruit34",4.51851851851852,1.01414497409889,27
"fruit35",4.59259259259259,0.636049058295352,27
"fruit36",4.37037037037037,0.966681402775979,27
"fruit37",4.7037037037037,0.608580619450185,27
"fruit38",3.7037037037037,1.29540058594347,27
"fruit39",4.55555555555556,0.697982440452113,27
"fruit40",4.85185185185185,0.456045181947149,27
"fruit41",3.81481481481481,1.21011878110682,27
"fruit42",4.59259259259259,0.747264717757073,27
"fruit43",3.74074074074074,1.40308979351322,27
"fruit44",4.33333333333333,0.960768922830523,27
"fruit45",4.59259259259259,0.636049058295352,27
"fruit46",4.62962962962963,0.564879030490882,27
"fruit47",4.18518518518519,1.03912082058444,27
"fruit48",3.96296296296296,1.45394639308336,27
"fruit49",4.37037037037037,0.883530860030809,27
"fruit50",3.92592592592593,1.26873425495121,27
"fruit51",4.77777777777778,0.506369683541833,27
"fruit52",3.96296296296296,1.09127594625887,27
"fruit53",4.14814814814815,1.19947756908849,27
"fruit54",3.85185185185185,1.53682248871604,27
"fruit55",4.7037037037037,0.541707756495413,27
"fruit56",4.33333333333333,1.10940039245046,27
"fruit57",4.18518518518519,1.00142348826508,27
"fruit58",4.7037037037037,0.541707756495413,27
"fruit59",4.62962962962963,0.629294363562392,27
"fruit60",4.37037037037037,1.04322532960003,27
