"image","mean","sd","n"
"iceCream01",3.96428571428571,1.10494319804209,28
"iceCream02",3.60714285714286,1.10014429068075,28
"iceCream03",3.71428571428571,1.2724180205607,28
"iceCream04",3.60714285714286,1.31485207488751,28
"iceCream05",4.17857142857143,1.0559731838827,28
"iceCream06",3.28571428571429,1.24296964764774,28
"iceCream07",3.5,1.42724806429613,28
"iceCream08",3.39285714285714,1.2863754913562,28
"iceCream09",3.82142857142857,1.18801332542007,28
"iceCream10",4.03571428571429,1.23174500899974,28
"iceCream11",3.46428571428571,1.45251105324137,28
"iceCream12",3.03571428571429,1.47778971232799,28
"iceCream13",4.10714285714286,1.2863754913562,28
"iceCream14",4.03571428571429,1.07089934019281,28
"iceCream15",3.82142857142857,1.12393394522432,28
"iceCream16",3.57142857142857,1.3451854182691,28
"iceCream17",3.07142857142857,1.38586973436717,28
"iceCream18",3.71428571428571,1.21280644412019,28
"iceCream19",3.64285714285714,1.49602648308619,28
"iceCream20",3.42857142857143,1.19964721445658,28
"iceCream21",3.21428571428571,1.37051336305301,28
"iceCream22",3.60714285714286,1.34272486120949,28
"iceCream23",3.71428571428571,1.08379111207058,28
"iceCream24",3.57142857142857,1.39916830927232,28
"iceCream25",3.92857142857143,1.08622934037623,28
"iceCream26",3.5,1.40105780143539,28
"iceCream27",4.17857142857143,0.772373514927102,28
"iceCream28",4.21428571428571,1.13389341902768,28
"iceCream29",3.10714285714286,1.42307142306079,28
"iceCream30",3.5,1.40105780143539,28
"iceCream31",2.71428571428571,1.43648601228556,28
"iceCream32",3.39285714285714,1.52362350055011,28
"iceCream33",2.71428571428571,1.51185789203691,28
"iceCream34",2.46428571428571,1.29048204766433,28
"iceCream35",2.85714285714286,1.67142178807469,28
"iceCream36",3.85714285714286,1.35302913150007,28
"iceCream37",2.39285714285714,1.37003070293484,28
"iceCream38",2.92857142857143,1.48893627027191,28
"iceCream39",2.71428571428571,1.30120009726471,28
"iceCream40",3.07142857142857,1.58531621868557,28
"iceCream41",3.78571428571429,1.34321733320889,28
"iceCream42",4.21428571428571,1.19743995000269,28
"iceCream43",3.5,1.42724806429613,28
"iceCream44",4.14285714285714,1.23870558826201,28
"iceCream45",3.64285714285714,1.31132632078241,28
"iceCream46",3.71428571428571,1.32935915658477,28
"iceCream47",2.92857142857143,1.1841099620037,28
"iceCream48",3.67857142857143,1.33482059908665,28
"iceCream49",4.39285714285714,1.06594717797993,28
"iceCream50",3.57142857142857,1.45114441246215,28
"iceCream51",3.89285714285714,1.2863754913562,28
"iceCream52",4.03571428571429,1.17006308336244,28
"iceCream53",3.82142857142857,1.21879027541646,28
"iceCream54",4.35714285714286,1.09592800906729,28
"iceCream55",3.60714285714286,1.49911790642181,28
"iceCream56",4.03571428571429,1.07089934019281,28
"iceCream57",4.10714285714286,1.25725408358368,28
"iceCream58",4.07142857142857,1.35888220481425,28
"iceCream59",4.25,1.20569635634504,28
"iceCream60",4.42857142857143,0.959497222838566,28
"iceCream61",3.78571428571429,1.2868895275371,28
"iceCream62",4,1.21716123890037,28
"iceCream63",3.64285714285714,1.41981443008339,28
"iceCream64",4.32142857142857,0.944911182523068,28
"iceCream65",4.46428571428571,0.838081709847526,28
