"image","mean","sd","n"
"pasta01",3.36,1.38082101181387,25
"pasta02",4.04,1.30639452948436,25
"pasta03",4.24,1.09087121146357,25
"pasta04",4,1.22474487139159,25
"pasta05",3.88,1.30128141972954,25
"pasta06",3.76,1.33166562369588,25
"pasta07",4.32,1.10754984838908,25
"pasta08",3.6,1.3228756555323,25
"pasta09",4.16,1.06770782520313,25
"pasta10",3.72,1.17331439378654,25
"pasta11",3.95833333333333,1.3666578295932,25
"pasta12",3.04,1.51327459504216,25
"pasta13",3.4,1.35400640077266,25
"pasta14",3.24,1.45143607047182,25
"pasta15",3.2,1.44337567297406,25
"pasta16",3.92,1.28840987267251,25
"pasta17",4.12,1.23558353285671,25
"pasta18",3.32,1.31402688962847,25
"pasta19",3.88,1.26885775404495,25
"pasta20",3,1.5,25
"pasta21",3.48,1.19443152447793,25
"pasta22",3.2,1.47196014438797,25
"pasta23",3.32,1.28192563486863,25
"pasta24",3.68,1.28192563486863,25
"pasta25",3.28,1.24230967690561,25
"pasta26",3.36,1.113552872566,25
"pasta27",3.56,1.26095202129185,25
"pasta28",3.2,1.47196014438797,25
"pasta29",3.2,1.22474487139159,25
"pasta30",3,1.38443731048635,25
"pasta31",2.8,1.4142135623731,25
"pasta32",3.16,1.34412301024373,25
"pasta33",2.88,1.12989675044522,25
"pasta34",2.6,1.58113883008419,25
"pasta35",2.4,1.5,25
"pasta36",3.12,1.30128141972954,25
"pasta37",3.64,1.18602979164381,25
"pasta38",3.6,1.47196014438797,25
"pasta39",3.48,1.53079500042734,25
"pasta40",3.08,1.44106442141449,25
"pasta41",3.84,1.21380943040221,25
"pasta42",4.04,1.13578166916005,25
"pasta43",4.52,0.871779788708135,25
"pasta44",3.875,1.19099885007063,25
"pasta45",3.64,1.38082101181387,25
"pasta46",3.88,1.12989675044522,25
"pasta47",4.44,0.960902353693305,25
"pasta48",4.08,1.22202018532156,25
"pasta49",3.88,1.33291660154215,25
"pasta50",4.04,1.17189305541646,25
"pasta51",4.08,1.25565388012249,25
"pasta52",3.76,1.33166562369588,25
"pasta53",3.64,1.38082101181387,25
"pasta54",3.8,1.3228756555323,25
"pasta55",3.88,1.30128141972954,25
"pasta56",4,1.08012344973464,25
"pasta57",4,1.19023807142381,25
"pasta58",3.79166666666667,1.2150922908826,25
"pasta59",4.36,0.952190457139047,25
"pasta60",4,1.15470053837925,25
"pasta61",4.08,0.953939201416945,25
"pasta62",4.12,1.30128141972954,25
"pasta63",4.04,1.24096736459909,25
"pasta64",4,0.763762615825973,25
"pasta65",3.64,1.38082101181387,25
