"image","mean","sd","n"
"pizza01",3.57142857142857,1.37244230610903,28
"pizza02",4.14285714285714,0.931517508007696,28
"pizza03",3.82142857142857,1.21879027541646,28
"pizza04",3.82142857142857,1.24880895637556,28
"pizza05",3.82142857142857,1.33482059908665,28
"pizza06",3.75,1.23603308118261,28
"pizza07",4,1.08866210790363,28
"pizza08",3.78571428571429,1.42353609945622,28
"pizza09",4.10714285714286,1.13330999042254,28
"pizza10",4.17857142857143,1.0559731838827,28
"pizza11",3.53571428571429,1.52709219826787,28
"pizza12",3.82142857142857,1.12393394522432,28
"pizza13",4,1.15470053837925,28
"pizza14",4.10714285714286,1.16553232836572,28
"pizza15",3.71428571428571,1.18187368057056,28
"pizza16",3.71428571428571,1.21280644412019,28
"pizza17",4.07407407407407,0.916763786618909,28
"pizza18",4.21428571428571,0.956736074026643,28
"pizza19",3.75,1.37773297418192,28
"pizza20",3.67857142857143,1.36228488423681,28
"pizza21",3.46428571428571,1.31886996683448,28
"pizza22",4.10714285714286,0.785954749158543,28
"pizza23",3.46428571428571,1.37388723611734,28
"pizza24",3.42857142857143,1.39916830927232,28
"pizza25",3.75,1.23603308118261,28
"pizza26",3.32142857142857,1.74384784055413,28
"pizza27",3.67857142857143,1.41561585678045,28
"pizza28",3.85714285714286,1.26825297494846,28
"pizza29",4.32142857142857,0.818923024853326,28
"pizza30",3.78571428571429,1.19743995000269,28
"pizza31",3.39285714285714,1.44886381320204,28
"pizza32",3.25,1.3228756555323,28
"pizza33",3.32142857142857,1.44154164977719,28
"pizza34",3.57142857142857,1.4253932901996,28
"pizza35",3.85714285714286,1.35302913150007,28
"pizza36",3.35714285714286,1.49602648308619,28
"pizza37",3.74074074074074,1.22764917917233,28
"pizza38",3.66666666666667,1.27097781860449,28
"pizza39",3.67857142857143,1.21879027541646,28
"pizza40",3.32142857142857,1.44154164977719,28
"pizza41",3.78571428571429,1.31535498256506,28
"pizza42",3.92857142857143,1.24509620120879,28
"pizza43",3.89285714285714,1.34272486120949,28
"pizza44",3.64285714285714,1.28277147048983,28
"pizza45",3.89285714285714,0.994029797388005,28
"pizza46",3.67857142857143,1.41561585678045,28
"pizza47",3.67857142857143,1.38920631293346,28
"pizza48",4.28571428571429,1.15010926557059,28
"pizza49",3.92857142857143,1.15240718847217,28
"pizza50",3.42857142857143,1.4253932901996,28
"pizza51",3.82142857142857,1.21879027541646,28
"pizza52",3.46428571428571,1.50264317385616,28
"pizza53",4.03571428571429,0.88116685505926,28
"pizza54",3.78571428571429,1.2868895275371,28
"pizza55",3.92857142857143,1.15240718847217,28
"pizza56",4.42857142857143,1.03381965002754,28
"pizza57",4.03571428571429,1.23174500899974,28
"pizza58",3.62962962962963,1.44510175708117,28
"pizza59",4.28571428571429,0.937180280579398,28
"pizza60",4.07142857142857,1.01574900036674,28
"pizza61",3.46428571428571,1.37388723611734,28
"pizza62",4,1.24721912892465,28
"pizza63",3.5,1.52752523165195,28
"pizza64",3.60714285714286,1.47420501399243,28
"pizza65",4.03571428571429,1.23174500899974,28
"pizza66",3.75,1.35058286457147,28
"pizza67",3.71428571428571,1.21280644412019,28
"pizza68",3.92857142857143,1.08622934037623,28
"pizza69",2.89285714285714,1.47420501399243,28
"pizza70",3.89285714285714,1.03061598676195,28
