"image","mean","sd","n"
"veggies01",4.36842105263158,1.16478545071564,19
"veggies02",3.84210526315789,1.42451387009108,19
"veggies03",4.36842105263158,1.25656172487509,19
"veggies04",3.47368421052632,1.34859684498089,19
"veggies05",4.57894736842105,0.692482608982125,19
"veggies06",4.21052631578947,1.35724178507659,19
"veggies07",3.42105263157895,1.42656500703552,19
"veggies08",4.15789473684211,1.25888654041475,19
"veggies09",4.26315789473684,1.19452944074029,19
"veggies10",4.36842105263158,1.01162829777814,19
"veggies11",4.05263157894737,1.17727011016194,19
"veggies12",4.10526315789474,1.32894013083548,19
"veggies13",4.31578947368421,1.10818327700728,19
"veggies14",4.68421052631579,0.671038298207203,19
"veggies15",4.21052631578947,1.27274625944674,19
"veggies16",3.52631578947368,1.64547936455651,19
"veggies17",3.94736842105263,1.43270079882276,19
"veggies18",4.10526315789474,1.44893588701445,19
"veggies19",3.89473684210526,1.48678388335006,19
"veggies20",3.57894736842105,1.42656500703552,19
"veggies21",4.31578947368421,1.05686284083011,19
"veggies22",4,1.33333333333333,19
"veggies23",3.73684210526316,1.484815935587,19
"veggies24",3.94736842105263,1.35292621998583,19
"veggies25",3.10526315789474,1.44893588701445,19
"veggies26",4,1.37436854187255,19
"veggies27",4.26315789473684,1.24016599530322,19
"veggies28",3.78947368421053,1.27274625944674,19
"veggies29",3.05263157894737,1.54465689144247,19
"veggies30",4.31578947368421,1.15723000589758,19
"veggies31",3.61111111111111,1.24328260423241,19
"veggies32",3.94736842105263,1.35292621998583,19
"veggies33",3.15789473684211,1.46299380627294,19
"veggies34",4.27777777777778,1.12749360533236,19
"veggies35",3.94736842105263,1.0787690624311,19
"veggies36",4.05263157894737,1.17727011016194,19
"veggies37",4.21052631578947,1.27274625944674,19
"veggies38",3.94736842105263,1.12909423927748,19
"veggies39",3.89473684210526,1.14962490704603,19
"veggies40",4.21052631578947,1.1342617456312,19
"veggies41",3.36842105263158,1.67366949862967,19
"veggies42",3.89473684210526,1.48678388335006,19
"veggies43",4.57894736842105,0.96123701977563,19
"veggies44",4.21052631578947,0.917662935482247,19
"veggies45",4.42105263157895,0.901590537370498,19
"veggies46",4,1.33333333333333,19
"veggies47",3.84210526315789,1.25888654041475,19
"veggies48",4.05263157894737,1.12909423927748,19
"veggies49",3.89473684210526,1.19697474409935,19
"veggies50",3.89473684210526,1.28645666861885,19
"veggies51",3.05263157894737,1.61498827689334,19
"veggies52",4.05263157894737,1.223550580643,19
"veggies53",4.42105263157895,1.01739260823845,19
"veggies54",4.68421052631579,0.749268649265355,19
"veggies55",4.63157894736842,0.683985568056769,19
"veggies56",4.10526315789474,1.19697474409935,19
"veggies57",3.89473684210526,1.19697474409935,19
"veggies58",4.31578947368421,0.945905302926917,19
"veggies59",3.84210526315789,1.53706639395154,19
"veggies60",3.89473684210526,1.28645666861885,19
"veggies61",4.15789473684211,1.11868761873192,19
"veggies62",3.89473684210526,1.32894013083548,19
"veggies63",3.78947368421053,1.35724178507659,19
"veggies64",3.68421052631579,1.4926721593969,19
"veggies65",4.31578947368421,1.20428086327933,19
